edge1,edge2,abs_frequency
-4769.251256281408,-4312.819095477389,44102.0
-4312.819095477389,-3856.38693467337,41777.0
-3856.38693467337,-3399.9547738693436,30947.0
-3399.9547738693436,-2943.5226130653245,26100.0
-2943.5226130653245,-2487.0904522613055,23759.0
-2487.0904522613055,-2030.6582914572864,23850.0
-2030.6582914572864,-1574.2261306532673,26666.0
-1574.2261306532673,-1117.7939698492482,37436.0
-1117.7939698492482,-661.3618090452292,50957.0
-661.3618090452292,-204.9296482412028,52074.0
-204.9296482412028,251.50251256281626,56661.0
251.50251256281626,707.9346733668353,56372.0
707.9346733668353,1164.3668341708544,42000.0
1164.3668341708544,1620.7989949748735,38551.0
1620.7989949748735,2077.2311557788926,38966.0
2077.2311557788926,2533.6633165829116,35237.0
2533.6633165829116,2990.0954773869307,33274.0
2990.0954773869307,3446.52763819095,42284.0
3446.52763819095,3902.959798994969,40030.0
3902.959798994969,4359.391959798988,32395.0
4359.391959798988,4815.824120603022,35765.0
4815.824120603022,5272.256281407041,37421.0
5272.256281407041,5728.68844221106,36823.0
5728.68844221106,6185.120603015079,28964.0
6185.120603015079,6641.552763819098,21555.0
6641.552763819098,7097.984924623117,14165.0
7097.984924623117,7554.417085427136,8773.0
7554.417085427136,8010.849246231155,7014.0
8010.849246231155,8467.281407035174,8225.0
8467.281407035174,8923.713567839193,12632.0
8923.713567839193,9380.145728643212,12108.0
9380.145728643212,9836.577889447231,7310.0
9836.577889447231,10293.01005025125,8218.0
10293.01005025125,10749.44221105527,6378.0
10749.44221105527,11205.874371859303,1431.0
11205.874371859303,11662.306532663322,1239.0
11662.306532663322,12118.738693467341,1859.0
12118.738693467341,12575.17085427136,1363.0
12575.17085427136,13031.60301507538,413.0
13031.60301507538,13488.035175879399,35.0
13488.035175879399,13944.467336683418,0.0
13944.467336683418,14400.899497487437,0.0
14400.899497487437,14857.331658291456,0.0
14857.331658291456,15313.763819095475,0.0
15313.763819095475,15770.195979899494,0.0
15770.195979899494,16226.628140703513,0.0
16226.628140703513,16683.060301507532,0.0
16683.060301507532,17139.49246231155,0.0
17139.49246231155,17595.924623115585,0.0
17595.924623115585,18052.356783919604,0.0
18052.356783919604,18508.788944723623,0.0
18508.788944723623,18965.221105527642,0.0
18965.221105527642,19421.65326633166,0.0
19421.65326633166,19878.08542713568,0.0
19878.08542713568,20334.5175879397,0.0
20334.5175879397,20790.94974874372,0.0
20790.94974874372,21247.381909547737,0.0
21247.381909547737,21703.814070351757,0.0
21703.814070351757,22160.246231155776,0.0
22160.246231155776,22616.678391959795,0.0
22616.678391959795,23073.110552763814,0.0
23073.110552763814,23529.542713567833,0.0
23529.542713567833,23985.974874371866,0.0
23985.974874371866,24442.407035175886,0.0
24442.407035175886,24898.839195979905,0.0
24898.839195979905,25355.271356783924,0.0
25355.271356783924,25811.703517587943,0.0
25811.703517587943,26268.135678391962,0.0
26268.135678391962,26724.56783919598,0.0
26724.56783919598,27181.0,0.0
